price,used,milage,transmission,colour,engine_capacity,horsepower,fuel_type,tax,state,year
4499000,1,71000,автоматическая,серый,3.0,306,Бензин,45900,Не требует ремонта,2017
3600000,1,140000,автоматическая,серебристый,3.0,306,Бензин,45900,Не требует ремонта,2017
9145000,1,92231,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2020
6850000,1,158000,автоматическая,синий,3.0,265,Дизель,39750,Не требует ремонта,2019
8295000,1,61918,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2020
6275000,1,127385,автоматическая,белый,3.0,340,Бензин,51000,Не требует ремонта,2019
10500000,1,31500,автоматическая,чёрный,3.0,340,Дизель,51000,Не требует ремонта,2022
7570000,1,91714,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2019
1850000,1,183000,автоматическая,белый,3.0,306,Бензин,45900,Не требует ремонта,2012
7499000,1,89233,автоматическая,серебристый,3.0,249,Дизель,18675,Не требует ремонта,2020
3760000,1,80872,автоматическая,чёрный,3.0,306,Бензин,45900,Не требует ремонта,2014
3685000,1,147213,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2016
11210000,1,20898,автоматическая,синий,3.0,340,Дизель,51000,Не требует ремонта,2022
10500000,1,31500,автоматическая,чёрный,3.0,340,Дизель,51000,Не требует ремонта,2022
7970000,1,32965,автоматическая,синий,3.0,265,Дизель,39750,Не требует ремонта,2019
9975000,1,49000,автоматическая,чёрный,3.0,340,Дизель,51000,Не требует ремонта,2021
7670000,1,58133,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2020
3300000,1,194000,автоматическая,чёрный,3.0,306,Бензин,45900,Не требует ремонта,2014
6849000,1,75000,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2020
14450000,0,10,автоматическая,чёрный,3.0,298,Дизель,44700,Не требует ремонта,2023
6870070,1,62000,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
6450000,1,78000,автоматическая,синий,2.0,231,Дизель,17325,Не требует ремонта,2020
14400000,0,20,автоматическая,серый,3.0,381,Бензин,57150,Не требует ремонта,2023
1900000,1,220000,автоматическая,чёрный,3.0,235,Дизель,17625,Не требует ремонта,2008
4040000,1,120120,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2017
1950000,1,190000,автоматическая,серый,3.0,306,Бензин,45900,Не требует ремонта,2011
10225000,1,24800,автоматическая,белый,3.0,400,Дизель,60000,Не требует ремонта,2020
6950000,1,29500,автоматическая,серый,3.0,340,Бензин,51000,Не требует ремонта,2019
6200000,1,55670,автоматическая,синий,2.0,231,Дизель,17325,Не требует ремонта,2019
6700000,1,97631,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
5750000,1,111000,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
